expense_ratio,risk_level,cluster,scheme_code,returns_1yr
0.0830039525691699,0.4000000000000001,5,100033,4.0
0.1185770750988142,0.0,7,100034,5.6
0.1857707509881423,0.8,6,100037,2.0
0.2173913043478261,1.0000000000000002,0,100038,4.5
0.4387351778656126,1.0000000000000002,8,100041,5.3
0.1225296442687747,0.4000000000000001,5,100042,4.5
0.0988142292490118,0.2,1,100043,4.9
0.2490118577075099,0.6000000000000001,9,100044,8.7
0.3241106719367589,1.0000000000000002,4,100046,-14.6
0.6600790513833993,1.0000000000000002,2,100047,6.2
0.2292490118577075,0.4000000000000001,5,100048,7.5
0.4268774703557312,1.0000000000000002,8,100049,-9.9
0.3754940711462451,1.0000000000000002,4,100051,-5.7
0.4545454545454546,0.6000000000000001,3,100052,0.8
0.316205533596838,1.0000000000000002,4,100053,-2.1
0.067193675889328,0.2,1,100054,5.8
0.3952569169960475,1.0000000000000002,4,100055,-0.7
0.0632411067193676,1.0000000000000002,0,100056,2.5
0.1106719367588933,0.6000000000000001,6,100057,4.7
0.1185770750988142,0.8,6,100058,3.7
0.383399209486166,1.0000000000000002,4,100059,1.6
0.0355731225296442,0.8,6,100060,11.8
0.0909090909090909,0.4000000000000001,5,100061,3.6
0.1699604743083004,0.4000000000000001,5,100062,3.5
0.3003952569169961,1.0000000000000002,4,100063,4.6
0.6482213438735179,1.0000000000000002,2,100064,13.5
0.8260869565217392,1.0000000000000002,2,100065,-4.1
0.0592885375494071,0.4000000000000001,5,100066,5.7
0.1304347826086956,0.4000000000000001,5,100067,5.7
0.5928853754940713,1.0000000000000002,2,100956,-2.9
0.316205533596838,0.6000000000000001,9,100970,22.1
0.4505928853754941,1.0000000000000002,8,100971,-3.6
0.0592885375494071,0.4000000000000001,5,100972,5.6
0.1027667984189723,1.0000000000000002,0,101313,0.7
0.4189723320158104,1.0000000000000002,4,101314,3.0
0.3399209486166008,0.6000000000000001,9,101315,3.6
0.1106719367588933,0.4000000000000001,5,101316,5.5
0.1264822134387352,0.4000000000000001,5,101317,5.5
0.3873517786561266,1.0000000000000002,4,101318,-2.3
0.3438735177865613,1.0000000000000002,4,101591,-3.0
0.0988142292490118,0.0,7,112210,5.6
0.2529644268774703,1.0000000000000002,0,112211,1.2
0.1067193675889328,0.4000000000000001,5,112212,4.5
0.225296442687747,1.0000000000000002,0,112213,-6.1
0.3952569169960475,1.0000000000000002,4,112214,-6.5
0.0632411067193676,0.4000000000000001,5,112215,4.9
0.2964426877470356,0.6000000000000001,9,112216,5.4
0.0790513833992095,0.4000000000000001,5,112217,3.4
0.3241106719367589,0.6000000000000001,9,112277,1.4
0.2529644268774703,1.0000000000000002,0,112278,-8.3
0.2687747035573122,1.0000000000000002,4,112322,-14.7
0.1304347826086956,0.4000000000000001,5,112323,4.0
0.0434782608695652,0.8,6,112354,14.5
0.0355731225296442,0.2,1,112355,5.7
0.3122529644268775,1.0000000000000002,4,112369,-11.1
0.2015810276679842,1.0000000000000002,0,112679,-2.5
0.316205533596838,0.6000000000000001,9,112680,1.8
0.0948616600790513,0.4000000000000001,5,112681,4.9
0.1897233201581028,1.0000000000000002,0,112682,3.4
0.1304347826086956,0.6000000000000001,6,112683,5.2
0.0909090909090909,0.2,1,112684,5.3
0.2608695652173913,1.0000000000000002,0,112712,-5.1
0.1422924901185771,0.8,6,118484,1.3
0.7944664031620554,1.0000000000000002,2,109255,13.6
0.8458498023715417,0.4000000000000001,3,109264,22.3
0.5849802371541503,0.6000000000000001,3,109269,130.8
0.7233201581027668,1.0000000000000002,2,110606,2.7
0.0474308300395256,0.2,1,110607,5.7
0.5889328063241108,1.0000000000000002,2,110608,7.6
0.7351778656126483,1.0000000000000002,2,111585,-0.3
0.3517786561264823,1.0000000000000002,4,111589,-4.1
0.3636363636363636,0.2,1,111590,28.3
0.4940711462450594,1.0000000000000002,8,111709,0.9
0.1185770750988142,0.4000000000000001,5,111710,5.2
0.2173913043478261,1.0000000000000002,0,113036,3.5
0.1699604743083004,0.0,7,119333,5.2
0.6205533596837945,1.0000000000000002,2,119334,6.6
0.2845849802371542,0.6000000000000001,9,119340,3.7
0.1027667984189723,0.2,1,119354,2.8
0.2845849802371542,0.6000000000000001,9,119399,5.7
0.2569169960474309,0.4000000000000001,5,119400,5.2
0.4189723320158104,1.0000000000000002,4,119415,-2.4
